customerID,SeniorCitizen,tenure,MonthlyCharges,TotalCharges,Churn,tenure_group,interaction_score,charges_group,MonthlyCharges_scaled,TotalCharges_scaled,gender_Female,gender_Male,Partner_No,Partner_Yes,Dependents_No,Dependents_Yes,PhoneService_No,PhoneService_Yes,MultipleLines_No,MultipleLines_No phone service,MultipleLines_Yes,InternetService_DSL,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_Month-to-month,Contract_One year,Contract_Two year,PaperlessBilling_No,PaperlessBilling_Yes,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
7590-VHVEG,0,1,29.85,29.85,0,0-12,1,Low,-1.1603229160349193,-0.9946795221443288,True,False,False,True,True,False,True,False,False,True,False,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False
5575-GNVDE,0,34,56.95,1889.5,0,24-48,2,Medium,-0.2596289419448806,-0.17450508852367547,False,True,True,False,True,False,False,True,True,False,False,True,False,False,False,False,True,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,True
3668-QPYBK,0,2,53.85,108.15,1,0-12,2,Medium,-0.3626603559551803,-0.9601463260308142,False,True,True,False,True,False,False,True,True,False,False,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,True
7795-CFOCW,0,45,42.3,1840.75,0,24-48,3,Medium,-0.7465354629935549,-0.19600564165948428,False,True,True,False,True,False,True,False,False,True,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,True,False,True,False,True,False,False,False
9237-HQITU,0,2,70.7,151.65,1,0-12,0,High,0.19736523310080326,-0.9409612170788617,True,False,True,False,True,False,False,True,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False
9305-CDSKC,0,8,99.65,820.5,1,0-12,3,High,1.1595456961969886,-0.6459736280555649,True,False,True,False,True,False,False,True,False,False,True,False,True,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False,True,True,False,False,False,True,False,False,True,False
1452-KIOVK,0,22,89.1,1949.4,0,12-24,2,High,0.8089065291619363,-0.1480869729783432,False,True,True,False,False,True,False,True,False,False,True,False,True,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,True,False,True,False,False
6713-OKOMC,0,10,29.75,301.9,0,0-12,1,Low,-1.1636465100352518,-0.8746954097218305,True,False,True,False,True,False,True,False,False,True,False,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True
7892-POOKP,0,28,104.8,3046.05,1,24-48,4,High,1.330710787214099,0.3355762392551897,True,False,False,True,True,False,False,True,False,False,True,False,True,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,False,True,False,False,True,False
6388-TABGU,0,62,56.15,3487.95,0,60+,2,Medium,-0.28621769394753876,0.5304704839877826,False,True,True,False,False,True,False,True,True,False,False,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False,True,False,False,False
9763-GRSKD,0,13,49.95,587.45,0,12-24,1,Medium,-0.4922805219681379,-0.748757297969416,False,True,False,True,False,True,False,True,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,True
7469-LKBCI,0,16,18.95,326.8,0,12-24,0,Low,-1.5225946620711341,-0.8637135887355405,False,True,True,False,True,False,False,True,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,True,False,False,True,False,False
8091-TTVAX,0,58,100.35,5681.1,0,48-60,3,High,1.182810854199314,1.4977307529067383,False,True,False,True,True,False,False,True,False,False,True,False,True,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,True,False,True,False,False,True,False,False
0280-XJGEX,0,49,103.7,5036.3,1,48-60,4,High,1.2941512532104444,1.2133501034304404,False,True,True,False,True,False,False,True,False,False,True,False,True,False,True,False,False,False,False,True,False,False,True,True,False,False,False,False,True,False,False,True,True,False,False,False,True,True,False,False,False
5129-JLPIS,0,25,105.5,2686.05,0,24-48,5,Very High,1.3539759452164248,0.17680292379075543,False,True,True,False,True,False,False,True,True,False,False,False,True,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,False,True,False,False,True,False
3655-SNQYZ,0,69,113.25,7895.15,0,60+,6,Very High,1.611554480242174,2.4742086948623787,True,False,False,True,False,True,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,True,False,False
8191-XWSZG,0,52,20.65,1022.95,0,48-60,0,Low,-1.4660935640654862,-0.5566856899561907,True,False,True,False,True,False,False,True,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,True
9959-WOFKT,0,71,106.7,7382.25,0,60+,4,Very High,1.393859073220412,2.2480008240243,False,True,True,False,False,True,False,True,False,False,True,False,True,False,False,False,True,True,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False,True,True,False,True,False,False,False
4190-MFLUW,0,10,55.2,528.35,1,0-12,2,Medium,-0.31779183695069496,-0.7748225839248274,True,False,False,True,False,True,False,True,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False
4183-MYFRB,0,21,90.05,1862.9,0,12-24,3,High,0.8404806721650927,-0.18623667238854752,True,False,True,False,True,False,False,True,True,False,False,False,True,False,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,True,False
